condition,epoch_index,band,power_type,roi,value
Pre,0,alpha,absolute,left_motor,3.0716198883718e-12
Pre,0,alpha,relative,left_motor,0.05480075175549428
Pre,0,beta,absolute,left_motor,3.8628862190952986e-12
Pre,0,beta,relative,left_motor,0.06891772955167744
Pre,0,low_gamma,absolute,left_motor,1.1734980230505781e-12
Pre,0,low_gamma,relative,left_motor,0.02093637109533323
Pre,0,alpha,absolute,right_motor,4.065583532085474e-12
Pre,0,alpha,relative,right_motor,0.06632874545483654
Pre,0,beta,absolute,right_motor,4.7579681869839325e-12
Pre,0,beta,relative,right_motor,0.07762478824159907
Pre,0,low_gamma,absolute,right_motor,1.6740717763993648e-12
Pre,0,low_gamma,relative,right_motor,0.027311966376684208
Pre,1,alpha,absolute,left_motor,2.5983040252561726e-12
Pre,1,alpha,relative,left_motor,0.1204701174066854
Pre,1,beta,absolute,left_motor,2.412450365206202e-12
Pre,1,beta,relative,left_motor,0.11185303024942915
Pre,1,low_gamma,absolute,left_motor,8.209256482291661e-13
Pre,1,low_gamma,relative,left_motor,0.0380621390965118
Pre,1,alpha,absolute,right_motor,3.4843353797754868e-12
Pre,1,alpha,relative,right_motor,0.1398466517414731
Pre,1,beta,absolute,right_motor,2.2370580812189465e-12
Pre,1,beta,relative,right_motor,0.08978615670166407
Pre,1,low_gamma,absolute,right_motor,6.707430528356126e-13
Pre,1,low_gamma,relative,right_motor,0.026920821302787012
Pre,2,alpha,absolute,left_motor,1.828563740834178e-12
Pre,2,alpha,relative,left_motor,0.11396887069399025
Pre,2,beta,absolute,left_motor,1.8747283980045475e-12
Pre,2,beta,relative,left_motor,0.11684617473660572
Pre,2,low_gamma,absolute,left_motor,5.149152065025708e-13
Pre,2,low_gamma,relative,left_motor,0.032093113998579795
Pre,2,alpha,absolute,right_motor,1.663599588873301e-12
Pre,2,alpha,relative,right_motor,0.09686116585441118
Pre,2,beta,absolute,right_motor,1.7504922950091867e-12
Pre,2,beta,relative,right_motor,0.10192039337337616
Pre,2,low_gamma,absolute,right_motor,5.278195812037061e-13
Pre,2,low_gamma,relative,right_motor,0.03073168588049687
