condition,epoch_index,band,summary_type,value
Pre,0,theta,within_left,0.4213140278592905
Pre,0,theta,within_right,0.5846885446892895
Pre,0,theta,interhemispheric,0.49567034608567306
Pre,0,theta,anterior_posterior,0.5205415134220002
Pre,1,theta,within_left,0.2876044579666195
Pre,1,theta,within_right,0.1758088091384559
Pre,1,theta,interhemispheric,0.23136875649978172
Pre,1,theta,anterior_posterior,0.23669767227106986
Pre,2,theta,within_left,0.22926920256322683
Pre,2,theta,within_right,0.22374965889808693
Pre,2,theta,interhemispheric,0.24365679499967638
Pre,2,theta,anterior_posterior,0.24982145862120472
Pre,3,theta,within_left,0.300664663680599
Pre,3,theta,within_right,0.20530459456147668
Pre,3,theta,interhemispheric,0.2291420502498148
Pre,3,theta,anterior_posterior,0.2731533070787864
Pre,4,theta,within_left,0.23263081163535387
Pre,4,theta,within_right,0.3744921293132402
Pre,4,theta,interhemispheric,0.356751646069466
Pre,4,theta,anterior_posterior,0.36281276052640243
Pre,5,theta,within_left,0.22675735590136978
Pre,5,theta,within_right,0.3086533684574161
Pre,5,theta,interhemispheric,0.15347171349892103
Pre,5,theta,anterior_posterior,0.2699040726079424
Pre,6,theta,within_left,0.16965146472365286
Pre,6,theta,within_right,0.22254337159103615
Pre,6,theta,interhemispheric,0.26930888611985043
Pre,6,theta,anterior_posterior,0.2090777368479561
Pre,7,theta,within_left,0.3029178743658033
Pre,7,theta,within_right,0.3072769317497583
Pre,7,theta,interhemispheric,0.30004761975822475
Pre,7,theta,anterior_posterior,0.30811339443376845
Pre,8,theta,within_left,0.30519034600834516
Pre,8,theta,within_right,0.33938973291219193
Pre,8,theta,interhemispheric,0.3199961832918619
Pre,8,theta,anterior_posterior,0.32071946645083976
Pre,9,theta,within_left,0.3191395120741561
Pre,9,theta,within_right,0.2570833858971899
Pre,9,theta,interhemispheric,0.3137748532190072
Pre,9,theta,anterior_posterior,0.3286896830221012
Pre,10,theta,within_left,0.17511511153191836
Pre,10,theta,within_right,0.16457504222154407
Pre,10,theta,interhemispheric,0.16435547341355075
Pre,10,theta,anterior_posterior,0.18400742136305487
Pre,11,theta,within_left,0.2510878684279796
Pre,11,theta,within_right,0.3641260006391048
Pre,11,theta,interhemispheric,0.17306184946662173
Pre,11,theta,anterior_posterior,0.28978150079639786
Pre,12,theta,within_left,0.36355615165381056
Pre,12,theta,within_right,0.20498844361468477
Pre,12,theta,interhemispheric,0.3092985441700935
Pre,12,theta,anterior_posterior,0.2629641413978425
Pre,13,theta,within_left,0.21950088732663586
Pre,13,theta,within_right,0.21214301985122155
Pre,13,theta,interhemispheric,0.10164860717726888
Pre,13,theta,anterior_posterior,0.2272226746148615
Pre,14,theta,within_left,0.19010431550605317
Pre,14,theta,within_right,0.27404801576854787
Pre,14,theta,interhemispheric,0.1870139769857153
Pre,14,theta,anterior_posterior,0.21876155520848348
Pre,15,theta,within_left,0.3071959560159719
Pre,15,theta,within_right,0.2522749960260939
Pre,15,theta,interhemispheric,0.22004341894085655
