condition,epoch_index,band,channel_a,channel_b,value
Pre,0,theta,F3,FC5,0.549310005242056
Pre,0,theta,F3,FC1,0.017980032226088665
Pre,0,theta,FC5,FC1,0.15064294104503698
Pre,0,theta,FC5,CP5,0.5896392240567454
Pre,0,theta,FC1,CP5,0.1822112124975716
Pre,0,theta,CP5,P3,0.39227213758248286
Pre,0,theta,P3,O1,0.6691375799332369
Pre,0,theta,CP5,O1,0.48701783556062983
Pre,0,theta,FC1,P3,0.42907998231999916
Pre,0,theta,F4,FC6,0.7843681334905782
Pre,0,theta,F4,FC2,0.27482996489117445
Pre,0,theta,FC6,FC2,0.6600267925558109
Pre,0,theta,FC6,CP6,0.7251294156774857
Pre,0,theta,FC2,CP6,0.6833647197664783
Pre,0,theta,CP6,P4,0.7896933990629561
Pre,0,theta,P4,O2,0.47778673062237403
Pre,0,theta,CP6,O2,0.3330867886001981
Pre,0,theta,FC2,P4,0.3561702312159433
Pre,0,theta,F3,F4,0.7902446051996949
Pre,0,theta,FC5,FC1,0.15064294104503698
Pre,0,theta,FC5,FC6,0.6453700834666793
Pre,0,theta,FC1,FC2,0.531465213497211
Pre,0,theta,CP5,CP6,0.32066816142119847
Pre,0,theta,P3,P4,0.22440505522261592
Pre,0,theta,O1,O2,0.46186895770663905
Pre,1,theta,F3,FC5,0.5088609471388583
Pre,1,theta,F3,FC1,0.14194441887713732
Pre,1,theta,FC5,FC1,0.27258119453443336
Pre,1,theta,FC5,CP5,0.4019657628642608
Pre,1,theta,FC1,CP5,0.45755567077235587
Pre,1,theta,CP5,P3,0.38541286911543005
Pre,1,theta,P3,O1,0.13526191281984795
Pre,1,theta,CP5,O1,0.5270035620045993
Pre,1,theta,FC1,P3,0.27728511941785844
Pre,1,theta,F4,FC6,0.28208260737807905
Pre,1,theta,F4,FC2,0.3427007784886479
Pre,1,theta,FC6,FC2,0.05237502110029452
Pre,1,theta,FC6,CP6,0.01740445200150724
Pre,1,theta,FC2,CP6,0.13435072368836753
Pre,1,theta,CP6,P4,0.2735432933566187
Pre,1,theta,P4,O2,0.22400068298544396
Pre,1,theta,CP6,O2,0.10707385728465847
Pre,1,theta,FC2,P4,0.21247169045878742
Pre,1,theta,F3,F4,0.1640508494421999
Pre,1,theta,FC5,FC1,0.27258119453443336
Pre,1,theta,FC5,FC6,0.11941474742209149
Pre,1,theta,FC1,FC2,0.4140805339756019
Pre,1,theta,CP5,CP6,0.24190976910353768
Pre,1,theta,P3,P4,0.0934288362223387
Pre,1,theta,O1,O2,0.35532780283292065
Pre,2,theta,F3,FC5,0.2770039222589188
Pre,2,theta,F3,FC1,0.20679648614164395
Pre,2,theta,FC5,FC1,0.12454807733600766
Pre,2,theta,FC5,CP5,0.05712067115425924
Pre,2,theta,FC1,CP5,0.5068344449700409
Pre,2,theta,CP5,P3,0.04870905204944436
Pre,2,theta,P3,O1,0.34909184160305873
Pre,2,theta,CP5,O1,0.04697914014760728
Pre,2,theta,FC1,P3,0.4380083501295842
Pre,2,theta,F4,FC6,0.16866095151689328
Pre,2,theta,F4,FC2,0.39850390127270463
Pre,2,theta,FC6,FC2,0.17465245115313432
Pre,2,theta,FC6,CP6,0.19792578820836085
Pre,2,theta,FC2,CP6,0.473813522420063
Pre,2,theta,CP6,P4,0.16530851210079708
Pre,2,theta,P4,O2,0.1523609144212883
Pre,2,theta,CP6,O2,0.6065784918929724
Pre,2,theta,FC2,P4,0.023687670547941006
Pre,2,theta,F3,F4,0.3855049784132698
Pre,2,theta,FC5,FC1,0.12454807733600766
Pre,2,theta,FC5,FC6,0.32234059026168965
Pre,2,theta,FC1,FC2,0.11175996527146959
Pre,2,theta,CP5,CP6,0.2864377133736146
Pre,2,theta,P3,P4,0.04205678671971844
Pre,2,theta,O1,O2,0.3138407359582962
Pre,3,theta,F3,FC5,0.4844131468410868
Pre,3,theta,F3,FC1,0.16361356676248334
Pre,3,theta,FC5,FC1,0.032184150561877733
Pre,3,theta,FC5,CP5,0.5144376315649005
Pre,3,theta,FC1,CP5,0.1407004490201506
Pre,3,theta,CP5,P3,0.6605904701080336
Pre,3,theta,P3,O1,0.23023807045143566
Pre,3,theta,CP5,O1,0.4237026986782754
Pre,3,theta,FC1,P3,0.46490595965746934
Pre,3,theta,F4,FC6,0.19298892163005638
Pre,3,theta,F4,FC2,0.2658364938430769
Pre,3,theta,FC6,FC2,0.025305089706106086
Pre,3,theta,FC6,CP6,0.3179136146891129
Pre,3,theta,FC2,CP6,0.11915360870292162
Pre,3,theta,CP6,P4,0.16372379735399337
Pre,3,theta,P4,O2,0.11691529323592535
Pre,3,theta,CP6,O2,0.06358534424147438
Pre,3,theta,FC2,P4,0.33148290276713743
Pre,3,theta,F3,F4,0.21012202563877128
Pre,3,theta,FC5,FC1,0.032184150561877733
Pre,3,theta,FC5,FC6,0.42016759600926595
Pre,3,theta,FC1,FC2,0.11349709044595789
Pre,3,theta,CP5,CP6,0.2651209558466633
Pre,3,theta,P3,P4,0.04650729341640892
Pre,3,theta,O1,O2,0.319437340141821
Pre,4,theta,F3,FC5,0.26264379362302903
Pre,4,theta,F3,FC1,0.12096350367263539
Pre,4,theta,FC5,FC1,0.18756130392130138
Pre,4,theta,FC5,CP5,0.06302441258109932
Pre,4,theta,FC1,CP5,0.24557490594923856
Pre,4,theta,CP5,P3,0.014758517990055845
Pre,4,theta,P3,O1,0.3133635792978972
Pre,4,theta,CP5,O1,0.39986006883967457
Pre,4,theta,FC1,P3,0.1582214403492081
Pre,4,theta,F4,FC6,0.07487371900764411
Pre,4,theta,F4,FC2,0.11011281057929308
Pre,4,theta,FC6,FC2,0.13650206438286444
Pre,4,theta,FC6,CP6,0.4111302530083166
Pre,4,theta,FC2,CP6,0.22000591819889997
Pre,4,theta,CP6,P4,0.5667573148480302
Pre,4,theta,P4,O2,0.1633845036299604
Pre,4,theta,CP6,O2,0.6629232328437441
Pre,4,theta,FC2,P4,0.28841638890421784
Pre,4,theta,F3,F4,0.18152238722138195
Pre,4,theta,FC5,FC1,0.18756130392130138
Pre,4,theta,FC5,FC6,0.758069650499201
Pre,4,theta,FC1,FC2,0.052209579668352143
Pre,4,theta,CP5,CP6,0.2319379860010792
Pre,4,theta,P3,P4,0.2673899804507717
Pre,4,theta,O1,O2,0.6493802925760102
Pre,5,theta,F3,FC5,0.08909831712760895
Pre,5,theta,F3,FC1,0.5658418653098911
Pre,5,theta,FC5,FC1,0.21436844497521987
Pre,5,theta,FC5,CP5,0.3865821951870184
Pre,5,theta,FC1,CP5,0.2536972448545443
Pre,5,theta,CP5,P3,0.16605186787111528
Pre,5,theta,P3,O1,0.08415153803619778
Pre,5,theta,CP5,O1,0.3426004985992183
Pre,5,theta,FC1,P3,0.033013428722026394
Pre,5,theta,F4,FC6,0.3797893284267273
Pre,5,theta,F4,FC2,0.17098263642056472
Pre,5,theta,FC6,FC2,0.42049413933047824
Pre,5,theta,FC6,CP6,0.24740012403375963
Pre,5,theta,FC2,CP6,0.41308244999631133
Pre,5,theta,CP6,P4,0.13015836875536083
Pre,5,theta,P4,O2,0.39816725978597056
Pre,5,theta,CP6,O2,0.4407799398608531
Pre,5,theta,FC2,P4,0.40989920749653513
Pre,5,theta,F3,F4,0.16120003990434809
Pre,5,theta,FC5,FC1,0.21436844497521987
Pre,5,theta,FC5,FC6,0.015195511072254064
Pre,5,theta,FC1,FC2,0.16605468460505834
Pre,5,theta,CP5,CP6,0.3326768435202054
Pre,5,theta,P3,P4,0.00011274473116551593
Pre,5,theta,O1,O2,0.24559045716049474
Pre,6,theta,F3,FC5,0.11900086251179977
Pre,6,theta,F3,FC1,0.2445592185236425
Pre,6,theta,FC5,FC1,0.15170728425925759
Pre,6,theta,FC5,CP5,0.262691883339052
Pre,6,theta,FC1,CP5,0.12469548387238424
Pre,6,theta,CP5,P3,0.056009468117699274
Pre,6,theta,P3,O1,0.3153804617541191
Pre,6,theta,CP5,O1,0.10874027495642838
Pre,6,theta,FC1,P3,0.2014694453418883
Pre,6,theta,F4,FC6,0.4381232627130714
Pre,6,theta,F4,FC2,0.20344410448805686
Pre,6,theta,FC6,FC2,0.13275025953645556
Pre,6,theta,FC6,CP6,0.0022982178487258114
Pre,6,theta,FC2,CP6,0.450909786938594
Pre,6,theta,CP6,P4,0.20094716593643683
