channel,mean_abs_amp_uv,intensity_pct,dist_from_f4_m,dist_from_f4_cm
F3,12.7522,10,0.10209627791922682,10.209627791922681
F3,10.6178,20,0.10209627791922682,10.209627791922681
F3,11.1026,30,0.10209627791922682,10.209627791922681
F3,12.2818,40,0.10209627791922682,10.209627791922681
F3,13.4358,50,0.10209627791922682,10.209627791922681
F7,14.4579,10,0.13332869798756755,13.332869798756755
F7,11.1353,20,0.13332869798756755,13.332869798756755
F7,9.4698,30,0.13332869798756755,13.332869798756755
F7,10.1894,40,0.13332869798756755,13.332869798756755
F7,9.9654,50,0.13332869798756755,13.332869798756755
FC5,12.9021,10,0.13488284660941882,13.488284660941883
FC5,10.2275,20,0.13488284660941882,13.488284660941883
FC5,9.9899,30,0.13488284660941882,13.488284660941883
FC5,10.2621,40,0.13488284660941882,13.488284660941883
FC5,1148.5714,50,0.13488284660941882,13.488284660941883
FC1,14.0735,10,0.09855729791496924,9.855729791496923
FC1,10.6383,20,0.09855729791496924,9.855729791496923
FC1,9.0409,30,0.09855729791496924,9.855729791496923
FC1,9.1344,40,0.09855729791496924,9.855729791496923
FC1,9.4447,50,0.09855729791496924,9.855729791496923
C3,14.1252,10,0.13651536880783788,13.651536880783787
C3,10.8034,20,0.13651536880783788,13.651536880783787
C3,8.9304,30,0.13651536880783788,13.651536880783787
C3,9.0714,40,0.13651536880783788,13.651536880783787
C3,11.5276,50,0.13651536880783788,13.651536880783787
T7,15.0824,10,0.16111078753311336,16.111078753311336
T7,12.0042,20,0.16111078753311336,16.111078753311336
T7,10.0511,30,0.16111078753311336,16.111078753311336
T7,29.1261,40,0.16111078753311336,16.111078753311336
T7,2665.1458,50,0.16111078753311336,16.111078753311336
CP5,15.2027,10,0.16595955661488734,16.595955661488734
CP5,11.4845,20,0.16595955661488734,16.595955661488734
CP5,9.7782,30,0.16595955661488734,16.595955661488734
CP5,27.7548,40,0.16595955661488734,16.595955661488734
CP5,2775.3249,50,0.16595955661488734,16.595955661488734
CP1,14.1161,10,0.1431856859549166,14.31856859549166
CP1,10.518,20,0.1431856859549166,14.31856859549166
