channel,mean_abs_amp_uv,intensity_pct,dist_from_c3_m,dist_from_c3_cm
F3,12.7522,10,0.07008150056113238,7.008150056113238
F3,10.6178,20,0.07008150056113238,7.008150056113238
F3,11.1026,30,0.07008150056113238,7.008150056113238
F3,12.2818,40,0.07008150056113238,7.008150056113238
F3,13.4358,50,0.07008150056113238,7.008150056113238
F7,14.4579,10,0.09324066485734644,9.324066485734644
F7,11.1353,20,0.09324066485734644,9.324066485734644
F7,9.4698,30,0.09324066485734644,9.324066485734644
F7,10.1894,40,0.09324066485734644,9.324066485734644
F7,9.9654,50,0.09324066485734644,9.324066485734644
FC5,12.9021,10,0.05146853150459997,5.1468531504599975
FC5,10.2275,20,0.05146853150459997,5.1468531504599975
FC5,9.9899,30,0.05146853150459997,5.1468531504599975
FC5,10.2621,40,0.05146853150459997,5.1468531504599975
FC5,1148.5714,50,0.05146853150459997,5.1468531504599975
FC1,14.0735,10,0.0513877238966662,5.13877238966662
FC1,10.6383,20,0.0513877238966662,5.13877238966662
FC1,9.0409,30,0.0513877238966662,5.13877238966662
FC1,9.1344,40,0.0513877238966662,5.13877238966662
FC1,9.4447,50,0.0513877238966662,5.13877238966662
C3,14.1252,10,0.0,0.0
C3,10.8034,20,0.0,0.0
C3,8.9304,30,0.0,0.0
C3,9.0714,40,0.0,0.0
C3,11.5276,50,0.0,0.0
T7,15.0824,10,0.07619106374109762,7.619106374109761
T7,12.0042,20,0.07619106374109762,7.619106374109761
T7,10.0511,30,0.07619106374109762,7.619106374109761
T7,29.1261,40,0.07619106374109762,7.619106374109761
T7,2665.1458,50,0.07619106374109762,7.619106374109761
CP5,15.2027,10,0.050379633234175096,5.037963323417509
CP5,11.4845,20,0.050379633234175096,5.037963323417509
CP5,9.7782,30,0.050379633234175096,5.037963323417509
CP5,27.7548,40,0.050379633234175096,5.037963323417509
CP5,2775.3249,50,0.050379633234175096,5.037963323417509
CP1,14.1161,10,0.05374991849333354,5.374991849333354
CP1,10.518,20,0.05374991849333354,5.374991849333354
CP1,9.1056,30,0.05374991849333354,5.374991849333354
CP1,9.6556,40,0.05374991849333354,5.374991849333354
CP1,29.5143,50,0.05374991849333354,5.374991849333354
Pz,14.1645,10,0.09734206307516806,9.734206307516805
Pz,10.5414,20,0.09734206307516806,9.734206307516805
Pz,9.0649,30,0.09734206307516806,9.734206307516805
Pz,9.356,40,0.09734206307516806,9.734206307516805
Pz,9.7796,50,0.09734206307516806,9.734206307516805
P3,14.8353,10,0.06879932232115372,6.879932232115372
P3,11.2178,20,0.06879932232115372,6.879932232115372
P3,10.3344,30,0.06879932232115372,6.879932232115372
P3,11.1314,40,0.06879932232115372,6.879932232115372
P3,1405.3354,50,0.06879932232115372,6.879932232115372
P7,14.0627,10,0.091324491087769,9.1324491087769
P7,10.6622,20,0.091324491087769,9.1324491087769
P7,9.1749,30,0.091324491087769,9.1324491087769
P7,30.2749,40,0.091324491087769,9.1324491087769
P7,2755.6321,50,0.091324491087769,9.1324491087769
O1,18.4229,10,0.12057573884650262,12.057573884650262
O1,31.6992,20,0.12057573884650262,12.057573884650262
O1,1163.5386,30,0.12057573884650262,12.057573884650262
O1,2410.4065,40,0.12057573884650262,12.057573884650262
O1,3381.348,50,0.12057573884650262,12.057573884650262
Oz,14.9701,10,0.1319796834121828,13.19796834121828
Oz,11.6128,20,0.1319796834121828,13.19796834121828
Oz,10.0612,30,0.1319796834121828,13.19796834121828
Oz,524.8555,40,0.1319796834121828,13.19796834121828
Oz,3853.7415,50,0.1319796834121828,13.19796834121828
O2,15.3288,10,0.14918109643979696,14.918109643979696
O2,11.8804,20,0.14918109643979696,14.918109643979696
O2,10.2004,30,0.14918109643979696,14.918109643979696
O2,988.7262,40,0.14918109643979696,14.918109643979696
O2,4548.1031,50,0.14918109643979696,14.918109643979696
P4,13.4981,10,0.13851793940241097,13.851793940241098
P4,10.391,20,0.13851793940241097,13.851793940241098
P4,9.5503,30,0.13851793940241097,13.851793940241098
P4,286.3311,40,0.13851793940241097,13.851793940241098
P4,3290.5024,50,0.13851793940241097,13.851793940241098
P8,16.5468,10,0.16555415504903523,16.55541550490352
P8,13.4556,20,0.16555415504903523,16.55541550490352
P8,20.9066,30,0.16555415504903523,16.55541550490352
P8,2981.4259,40,0.16555415504903523,16.55541550490352
P8,7619.6175,50,0.16555415504903523,16.55541550490352
CP6,14.8105,10,0.1561823328426426,15.61823328426426
CP6,11.8395,20,0.1561823328426426,15.61823328426426
CP6,228.3511,30,0.1561823328426426,15.61823328426426
CP6,4039.2197,40,0.1561823328426426,15.61823328426426
CP6,9060.7979,50,0.1561823328426426,15.61823328426426
CP2,15.6034,10,0.112748003168881,11.2748003168881
CP2,13.0839,20,0.112748003168881,11.2748003168881
CP2,1290.6494,30,0.112748003168881,11.2748003168881
CP2,5228.3545,40,0.112748003168881,11.2748003168881
CP2,9912.1451,50,0.112748003168881,11.2748003168881
Cz,12.9738,10,0.07495415814409497,7.495415814409497
Cz,10.3799,20,0.07495415814409497,7.495415814409497
Cz,104.9616,30,0.07495415814409497,7.495415814409497
Cz,2623.9744,40,0.07495415814409497,7.495415814409497
Cz,6220.157,50,0.07495415814409497,7.495415814409497
C4,16.79,10,0.1324803034641754,13.248030346417538
C4,313.621,20,0.1324803034641754,13.248030346417538
C4,5817.1157,30,0.1324803034641754,13.248030346417538
C4,11819.328,40,0.1324803034641754,13.248030346417538
C4,15792.7464,50,0.1324803034641754,13.248030346417538
T8,16.7245,10,0.16762040913313628,16.762040913313626
T8,14.1569,20,0.16762040913313628,16.762040913313626
T8,3183.9847,30,0.16762040913313628,16.762040913313626
T8,9181.5711,40,0.16762040913313628,16.762040913313626
T8,15970.681,50,0.16762040913313628,16.762040913313626
FT10,14.8988,10,0.19031170026669403,19.031170026669404
FT10,16.8414,20,0.19031170026669403,19.031170026669404
FT10,4428.0787,30,0.19031170026669403,19.031170026669404
FT10,10961.3499,40,0.19031170026669403,19.031170026669404
FT10,17872.3002,50,0.19031170026669403,19.031170026669404
FC6,16.6619,10,0.15357036421002587,15.357036421002586
FC6,351.4412,20,0.15357036421002587,15.357036421002586
FC6,6486.7271,30,0.15357036421002587,15.357036421002586
FC6,13616.5544,40,0.15357036421002587,15.357036421002586
FC6,16736.489,50,0.15357036421002587,15.357036421002586
FC2,62.552,10,0.10810438087792741,10.810438087792742
FC2,2865.2441,20,0.10810438087792741,10.810438087792742
FC2,8979.9551,30,0.10810438087792741,10.810438087792742
FC2,13324.3041,40,0.10810438087792741,10.810438087792742
FC2,15391.1497,50,0.10810438087792741,10.810438087792742
F4,89.3526,10,0.13651536880783788,13.651536880783787
F4,10964.2648,20,0.13651536880783788,13.651536880783787
F4,19621.9629,30,0.13651536880783788,13.651536880783787
F4,22333.9128,40,0.13651536880783788,13.651536880783787
F4,23968.6311,50,0.13651536880783788,13.651536880783787
F8,17.3398,10,0.16771231313472484,16.771231313472484
F8,4487.827,20,0.16771231313472484,16.771231313472484
F8,14320.6242,30,0.16771231313472484,16.771231313472484
F8,19798.5817,40,0.16771231313472484,16.771231313472484
F8,21843.5543,50,0.16771231313472484,16.771231313472484
Fp2,17.0181,10,0.15326380684923627,15.326380684923627
Fp2,5630.6522,20,0.15326380684923627,15.326380684923627
Fp2,15918.6951,30,0.15326380684923627,15.326380684923627
Fp2,21836.41,40,0.15326380684923627,15.326380684923627
Fp2,24547.0841,50,0.15326380684923627,15.326380684923627
