channel_name,bias_before_abs_uv,bias_hpf_only_abs_uv,bias_final_abs_uv,hpf_only_improvement_pct,final_improvement_pct,is_good_final
Fp1,1328.995647,324.344362,260.597068,75.594776,80.391428,False
F3,182.755534,27.659582,22.821336,84.865256,87.512643,True
FC5,47.110760,31.254936,31.937651,33.656481,32.207310,True
FC1,238.363480,220.176624,111.029118,7.629884,53.420248,False
C3,31.778850,17.899704,18.427047,43.674159,42.014744,True
C4,401.670238,117.159864,91.901329,70.831828,77.120204,True
FC6,345.475382,96.803479,76.450811,71.979630,77.870837,True
FC2,398.236357,117.277588,92.158591,70.550758,76.858318,True
F4,511.627896,110.047573,84.653978,78.490701,83.453995,True
F8,3764.727962,557.222184,470.204158,85.198873,87.510275,False
Fp2,1331.038411,348.765391,282.690336,73.797496,78.761670,False
Cz,289.835491,76.977467,60.797324,73.440980,79.023506,True
